,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Da Bulter is in Town (7-5-1),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Team Rocket (8-5),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Team Orbs (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Center City ABDs (5-8),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Too Easy (9-4),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Players Only Meeting (8-4-1),.0000,.0000,0,0,0,0,0,0,0,0-0-9

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),The Dazzling Lobcity Stars (3-10),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Players Only Meeting (8-4-1),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Mr Steal  Your Ball (4-7-2),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Old City Irony (8-5),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Ithaca is Gorges (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Da Bulter is in Town (7-5-1),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Nerlens Jazz (3-10),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Team Orbs (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Team Rocket (8-5),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),The Real Power (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Center City ABDs (5-8),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),Too Easy (9-4),.0000,.0000,0,0,0,0,0,0,0,0-0-9

