,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Team Rocket (8-5),.4985,.7414,39,180,109,28,21,64,451,5-3-1
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Da Bulter is in Town (7-5-1),.4505,.7419,39,144,95,32,17,57,372,3-5-1
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Center City ABDs (5-8),.4377,.7333,27,163,59,25,22,53,381,1-8-0
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Team Orbs (7-6),.4870,.7717,37,176,99,38,13,52,509,8-1-0
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Players Only Meeting (8-4-1),.4403,.8000,51,186,97,40,19,59,509,7-2-0
JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),Too Easy (9-4),.4623,.7126,45,149,95,23,23,64,401,2-7-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Players Only Meeting (8-4-1),.4094,.8542,47,159,86,30,16,68,441,4-5-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),The Dazzling Lobcity Stars (3-10),.4533,.6941,31,184,87,17,25,55,420,5-4-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Old City Irony (8-5),.4358,.8107,36,217,79,37,26,51,533,6-2-1
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Mr Steal  Your Ball (4-7-2),.4687,.7429,48,137,66,37,6,53,414,2-6-1
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Da Bulter is in Town (7-5-1),.4562,.9009,57,189,103,24,18,61,501,4-5-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Ithaca is Gorges (7-6),.4568,.7460,46,196,101,29,21,58,389,5-4-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Team Orbs (7-6),.4686,.8229,23,191,108,27,14,59,430,6-3-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Nerlens Jazz (3-10),.4618,.8023,28,119,95,31,11,51,351,3-6-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),The Real Power (7-6),.4738,.7553,48,215,122,28,21,89,499,7-2-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Team Rocket (8-5),.4755,.7414,40,184,90,25,15,58,436,2-7-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Too Easy (9-4),.5013,.7907,44,197,132,33,27,64,536,7-2-0
JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),Center City ABDs (5-8),.4906,.7424,58,147,77,13,25,51,419,2-7-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Center City ABDs (5-8),.4530,.8684,39,118,83,27,12,45,365,5-4-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),The Dazzling Lobcity Stars (3-10),.4313,.6753,32,181,91,28,29,51,360,4-5-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Da Bulter is in Town (7-5-1),.4595,.8082,45,136,98,33,13,53,410,5-4-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Old City Irony (8-5),.4550,.8197,38,175,97,20,18,67,502,4-5-0
JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26),Mr Steal  Your Ball (4-7-2),.4382,.8116,36,147,69,38,20,66,390,3-6-0
