,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
35,35,JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5),6,Too Easy (10-9),0.5136,0.6702,42,169,153,40,21,62,483,3-6-0,3,-1
36,36,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),1,The Dazzling Lobcity Stars (4-15),0.4488,0.8034,25,149,53,28,15,44,373,5-4-0,4,1
37,37,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),1,The Real Power (11-8),0.4331,0.8265,31,128,76,24,14,57,384,4-5-0,4,-1
38,38,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),2,Ithaca is Gorges (9-10),0.443,0.7232,31,200,119,30,28,69,392,4-5-0,4,-1
39,39,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),2,Old City Irony (11-7-1),0.4548,0.824,30,203,69,18,26,67,475,5-4-0,4,1
40,40,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),3,Nerlens Jazz (5-13-1),0.4395,0.8831,23,90,61,19,14,48,309,3-6-0,4,-1
41,41,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),3,Mr Steal  Your Ball (8-9-2),0.4811,0.7363,56,175,93,22,12,73,505,6-3-0,4,1
42,42,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),4,Team Rocket (13-6),0.4985,0.7414,39,180,109,28,21,64,451,5-3-1,4,1
43,43,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),4,Da Bulter is in Town (9-9-1),0.4505,0.7419,39,144,95,32,17,57,372,3-5-1,4,-1
44,44,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),5,Center City ABDs (7-12),0.4377,0.7333,27,163,59,25,22,53,381,1-8-0,4,-1
45,45,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),5,Team Orbs (11-8),0.487,0.7717,37,176,99,38,13,52,509,8-1-0,4,1
46,46,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),6,Players Only Meeting (13-5-1),0.4403,0.8,51,186,97,40,19,59,509,7-2-0,4,1
47,47,JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12),6,Too Easy (10-9),0.4623,0.7126,45,149,95,23,23,64,401,2-7-0,4,-1
48,48,JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19),1,Players Only Meeting (13-5-1),0.4094,0.8542,47,159,86,30,16,68,441,4-5-0,5,-1
