,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
155,155,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),6,The Real Power (11-8),0.4605,0.7669,44,183,109,34,20,62,496,7-2-0,13,1
156,156,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),1,The Dazzling Lobcity Stars (4-15),0.4549,0.8219,33,113,80,10,10,42,355,6-2-1,14,1
157,157,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),1,Da Bulter is in Town (9-9-1),0.451,0.8276,28,73,46,22,10,47,260,2-6-1,14,-1
158,158,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),2,Nerlens Jazz (5-13-1),0.4635,0.7565,24,131,96,37,16,51,403,4-4-1,14,0
159,159,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),2,Old City Irony (11-7-1),0.4405,0.7315,43,174,96,20,17,55,470,4-4-1,14,0
160,160,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),3,Team Rocket (13-6),0.491,0.75,48,180,96,34,26,41,513,5-4-0,14,1
161,161,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),3,Ithaca is Gorges (9-10),0.4667,0.8182,44,201,112,37,23,52,465,4-5-0,14,-1
162,162,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),4,Center City ABDs (7-12),0.4665,0.8721,39,148,88,27,21,40,462,4-5-0,14,-1
163,163,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),4,Mr Steal  Your Ball (8-9-2),0.442,0.7595,44,182,79,49,22,55,470,5-4-0,14,1
164,164,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),5,Players Only Meeting (13-5-1),0.4909,0.7891,69,165,78,39,24,49,602,8-1-0,14,1
165,165,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),5,Team Orbs (11-8),0.4506,0.703,21,158,115,29,6,69,384,1-8-0,14,-1
166,166,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),6,Too Easy (10-9),0.4973,0.7596,48,181,113,27,21,81,493,4-5-0,14,-1
167,167,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),6,The Real Power (11-8),0.4524,0.7129,36,207,119,30,23,76,460,5-4-0,14,1
168,168,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),1,The Real Power (11-8),0.458,0.8211,39,190,102,32,20,57,478,8-1-0,15,1
169,169,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),1,The Dazzling Lobcity Stars (4-15),0.447,0.7297,27,117,61,20,13,31,351,1-8-0,15,-1
170,170,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),2,Old City Irony (11-7-1),0.4817,0.7937,59,163,103,20,8,51,553,6-3-0,15,1
171,171,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),2,Ithaca is Gorges (9-10),0.465,0.7706,45,244,97,23,34,59,461,3-6-0,15,-1
172,172,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),3,Mr Steal  Your Ball (8-9-2),0.4595,0.8415,49,149,71,35,17,49,436,4-3-2,15,1
173,173,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),3,Nerlens Jazz (5-13-1),0.4735,0.732,36,127,92,35,18,49,375,3-4-2,15,-1
174,174,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),4,Da Bulter is in Town (9-9-1),0.4643,0.7526,47,151,89,31,12,52,406,3-6-0,15,-1
175,175,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),4,Team Rocket (13-6),0.4506,0.7755,45,235,93,34,34,68,533,6-3-0,15,1
176,176,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),5,Team Orbs (11-8),0.4637,0.6585,22,193,125,24,11,69,473,5-4-0,15,1
177,177,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),5,Center City ABDs (7-12),0.4444,0.88,33,150,84,25,1,57,387,4-5-0,15,-1
178,178,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),6,Too Easy (10-9),0.4921,0.75,45,188,120,18,23,64,510,4-5-0,15,-1
179,179,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),6,Players Only Meeting (13-5-1),0.4222,0.7931,44,175,90,36,31,56,539,5-4-0,15,1
180,180,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),1,The Dazzling Lobcity Stars (4-15),0.4671,0.717,30,115,68,20,16,47,352,1-8-0,16,-1
181,181,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),1,Players Only Meeting (13-5-1),0.47,0.7984,66,184,91,40,40,62,623,8-1-0,16,1
182,182,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),2,Mr Steal  Your Ball (8-9-2),0.4899,0.7671,45,122,75,28,11,40,439,3-6-0,16,-1
183,183,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),2,Old City Irony (11-7-1),0.4856,0.8607,49,179,116,21,17,48,560,6-3-0,16,1
184,184,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),3,Ithaca is Gorges (9-10),0.4789,0.8056,34,206,87,39,20,60,410,3-6-0,16,-1
185,185,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),3,Da Bulter is in Town (9-9-1),0.5054,0.8804,41,214,106,37,16,73,496,6-3-0,16,1
186,186,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),4,Nerlens Jazz (5-13-1),0.4896,0.8347,28,113,90,24,15,43,459,3-6-0,16,-1
187,187,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),4,Team Orbs (11-8),0.4564,0.8571,43,176,156,32,11,73,505,6-3-0,16,1
188,188,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),5,Team Rocket (13-6),0.4799,0.8365,58,182,102,35,22,50,551,5-4-0,16,1
189,189,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),5,The Real Power (11-8),0.4724,0.6932,45,183,116,37,25,70,466,4-5-0,16,-1
190,190,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),6,Center City ABDs (7-12),0.4197,0.8317,34,142,97,25,24,66,416,5-3-1,16,1
191,191,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),6,Too Easy (10-9),0.4691,0.7976,32,161,91,25,18,60,403,3-5-1,16,-1
