"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","6","The Real Power (11-8)",".4524",".7129","36","207","119","30","23","76","460","5-4-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","1","The Real Power (11-8)",".4580",".8211","39","190","102","32","20","57","478","8-1-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","1","The Dazzling Lobcity Stars (4-15)",".4470",".7297","27","117","61","20","13","31","351","1-8-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","2","Old City Irony (11-7-1)",".4817",".7937","59","163","103","20","8","51","553","6-3-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","2","Ithaca is Gorges (9-10)",".4650",".7706","45","244","97","23","34","59","461","3-6-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","3","Mr Steal  Your Ball (8-9-2)",".4595",".8415","49","149","71","35","17","49","436","4-3-2"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","3","Nerlens Jazz (5-13-1)",".4735",".7320","36","127","92","35","18","49","375","3-4-2"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","4","Da Bulter is in Town (9-9-1)",".4643",".7526","47","151","89","31","12","52","406","3-6-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","4","Team Rocket (13-6)",".4506",".7755","45","235","93","34","34","68","533","6-3-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","5","Team Orbs (11-8)",".4637",".6585","22","193","125","24","11","69","473","5-4-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","5","Center City ABDs (7-12)",".4444",".8800","33","150","84","25","1","57","387","4-5-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","6","Too Easy (10-9)",".4921",".7500","45","188","120","18","23","64","510","4-5-0"
"JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28)","6","Players Only Meeting (13-5-1)",".4222",".7931","44","175","90","36","31","56","539","5-4-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","1","The Dazzling Lobcity Stars (4-15)",".4671",".7170","30","115","68","20","16","47","352","1-8-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","1","Players Only Meeting (13-5-1)",".4700",".7984","66","184","91","40","40","62","623","8-1-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","2","Mr Steal  Your Ball (8-9-2)",".4899",".7671","45","122","75","28","11","40","439","3-6-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","2","Old City Irony (11-7-1)",".4856",".8607","49","179","116","21","17","48","560","6-3-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","3","Ithaca is Gorges (9-10)",".4789",".8056","34","206","87","39","20","60","410","3-6-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","3","Da Bulter is in Town (9-9-1)",".5054",".8804","41","214","106","37","16","73","496","6-3-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","4","Nerlens Jazz (5-13-1)",".4896",".8347","28","113","90","24","15","43","459","3-6-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","4","Team Orbs (11-8)",".4564",".8571","43","176","156","32","11","73","505","6-3-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","5","Team Rocket (13-6)",".4799",".8365","58","182","102","35","22","50","551","5-4-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","5","The Real Power (11-8)",".4724",".6932","45","183","116","37","25","70","466","4-5-0"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","6","Center City ABDs (7-12)",".4197",".8317","34","142","97","25","24","66","416","5-3-1"
"JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4)","6","Too Easy (10-9)",".4691",".7976","32","161","91","25","18","60","403","3-5-1"
