"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","2","Team Rocket (13-6)",".4765",".6587","49","238","94","24","25","55","518","6-3-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","2","Old City Irony (11-7-1)",".4524",".7665","46","202","110","20","20","64","592","3-6-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","3","Center City ABDs (7-12)",".4542",".9194","39","87","64","28","6","59","334","3-5-1"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","3","Nerlens Jazz (5-13-1)",".5408",".8472","26","110","64","13","13","35","339","5-3-1"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","4","Players Only Meeting (13-5-1)",".4587",".7434","49","171","79","26","27","70","477","2-7-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","4","Mr Steal  Your Ball (8-9-2)",".4681",".7810","70","164","104","36","12","59","617","7-2-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","5","Too Easy (10-9)",".5000",".8214","39","178","120","35","26","84","476","8-1-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","5","Da Bulter is in Town (9-9-1)",".4235",".7600","33","172","103","22","17","73","369","1-8-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","6","The Real Power (11-8)",".4711",".8136","40","173","134","29","15","84","478","5-4-0"
"JaVale Vindicated Scoreboard Matchup 2 (Oct 23 - 29)","6","Team Orbs (11-8)",".5287",".7320","24","219","96","34","13","68","445","4-5-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","1","Da Bulter is in Town (9-9-1)",".4882",".8049","58","206","109","24","20","70","569","8-1-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","1","The Dazzling Lobcity Stars (4-15)",".5125",".7324","55","178","81","22","16","76","517","1-8-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","2","Old City Irony (11-7-1)",".4821",".7977","62","213","106","30","24","84","630","7-2-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","2","Nerlens Jazz (5-13-1)",".4739",".8659","29","122","81","19","12","55","336","2-7-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","3","Ithaca is Gorges (9-10)",".4461",".6915","29","189","120","33","24","64","400","3-5-1"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","3","Team Rocket (13-6)",".4601",".7372","38","232","119","32","24","74","545","5-3-1"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","4","Mr Steal  Your Ball (8-9-2)",".4296",".8101","70","147","84","37","19","70","494","3-5-1"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","4","Center City ABDs (7-12)",".4481",".8660","56","156","88","26","17","44","494","5-3-1"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","5","Team Orbs (11-8)",".4861",".7712","39","215","91","22","18","58","480","4-5-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","5","Players Only Meeting (13-5-1)",".4587",".8630","58","178","79","30","29","83","606","5-4-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","6","The Real Power (11-8)",".5303",".7573","49","175","145","43","17","72","565","6-3-0"
"JaVale Vindicated Scoreboard Matchup 3 (Oct 30 - Nov 5)","6","Too Easy (10-9)",".5136",".6702","42","169","153","40","21","62","483","3-6-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","1","The Dazzling Lobcity Stars (4-15)",".4488",".8034","25","149","53","28","15","44","373","5-4-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","1","The Real Power (11-8)",".4331",".8265","31","128","76","24","14","57","384","4-5-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","2","Ithaca is Gorges (9-10)",".4430",".7232","31","200","119","30","28","69","392","4-5-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","2","Old City Irony (11-7-1)",".4548",".8240","30","203","69","18","26","67","475","5-4-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","3","Nerlens Jazz (5-13-1)",".4395",".8831","23","90","61","19","14","48","309","3-6-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","3","Mr Steal  Your Ball (8-9-2)",".4811",".7363","56","175","93","22","12","73","505","6-3-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","4","Team Rocket (13-6)",".4985",".7414","39","180","109","28","21","64","451","5-3-1"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","4","Da Bulter is in Town (9-9-1)",".4505",".7419","39","144","95","32","17","57","372","3-5-1"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","5","Center City ABDs (7-12)",".4377",".7333","27","163","59","25","22","53","381","1-8-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","5","Team Orbs (11-8)",".4870",".7717","37","176","99","38","13","52","509","8-1-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","6","Players Only Meeting (13-5-1)",".4403",".8000","51","186","97","40","19","59","509","7-2-0"
"JaVale Vindicated Scoreboard Matchup 4 (Nov 6 - 12)","6","Too Easy (10-9)",".4623",".7126","45","149","95","23","23","64","401","2-7-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","1","Players Only Meeting (13-5-1)",".4094",".8542","47","159","86","30","16","68","441","4-5-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","1","The Dazzling Lobcity Stars (4-15)",".4533",".6941","31","184","87","17","25","55","420","5-4-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","2","Old City Irony (11-7-1)",".4358",".8107","36","217","79","37","26","51","533","6-2-1"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","2","Mr Steal  Your Ball (8-9-2)",".4687",".7429","48","137","66","37","6","53","414","2-6-1"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","3","Da Bulter is in Town (9-9-1)",".4562",".9009","57","189","103","24","18","61","501","4-5-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","3","Ithaca is Gorges (9-10)",".4568",".7460","46","196","101","29","21","58","389","5-4-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","4","Team Orbs (11-8)",".4686",".8229","23","191","108","27","14","59","430","6-3-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","4","Nerlens Jazz (5-13-1)",".4618",".8023","28","119","95","31","11","51","351","3-6-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","5","The Real Power (11-8)",".4738",".7553","48","215","122","28","21","89","499","7-2-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","5","Team Rocket (13-6)",".4755",".7414","40","184","90","25","15","58","436","2-7-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","6","Too Easy (10-9)",".5013",".7907","44","197","132","33","27","64","536","7-2-0"
"JaVale Vindicated Scoreboard Matchup 5 (Nov 13 - 19)","6","Center City ABDs (7-12)",".4906",".7424","58","147","77","13","25","51","419","2-7-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","1","Center City ABDs (7-12)",".4530",".8684","39","118","83","27","12","45","365","5-4-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","1","The Dazzling Lobcity Stars (4-15)",".4313",".6753","32","181","91","28","29","51","360","4-5-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","2","Da Bulter is in Town (9-9-1)",".4595",".8082","45","136","98","33","13","53","410","5-4-0"
"JaVale Vindicated Scoreboard Matchup 6 (Nov 20 - 26)","2","Old City Irony (11-7-1)",".4550",".8197","38","175","97","20","18","67","502","4-5-0"
